tag,step,value
val_RMSE/diurnal_cos,76725,0.0464931
val_RMSE/diurnal_cos,77179,0.0447209
val_RMSE/diurnal_cos,77633,0.258278
val_RMSE/diurnal_cos,78087,0.0441877
val_RMSE/diurnal_cos,78541,0.833
val_RMSE/diurnal_cos,78995,0.0546251
val_RMSE/diurnal_cos,79449,0.0436743
val_RMSE/diurnal_cos,79903,0.0437075
val_RMSE/diurnal_cos,80357,0.0477489
val_RMSE/diurnal_cos,80811,0.0573795
val_RMSE/diurnal_cos,81265,0.0993046
val_RMSE/diurnal_cos,81719,0.104976
val_RMSE/diurnal_cos,82173,0.0447935
val_RMSE/diurnal_cos,82627,0.0452694
val_RMSE/diurnal_cos,83081,0.103146
val_RMSE/diurnal_cos,83535,0.375466
val_RMSE/diurnal_cos,83989,0.280339
val_RMSE/diurnal_cos,84443,0.0435806
val_RMSE/diurnal_cos,84897,0.0432808
val_RMSE/diurnal_cos,85351,0.141189
val_RMSE/diurnal_cos,85805,0.0432307
val_RMSE/diurnal_cos,86259,0.0997458
val_RMSE/diurnal_cos,86713,0.0444654
val_RMSE/diurnal_cos,87167,0.0432691
val_RMSE/diurnal_cos,87621,0.0748633
val_RMSE/diurnal_cos,88075,0.0434276
val_RMSE/diurnal_cos,88529,0.0572448
val_RMSE/diurnal_cos,88983,0.0437042
val_RMSE/diurnal_cos,89437,0.0441246
val_RMSE/diurnal_cos,89891,0.0439583
val_RMSE/diurnal_cos,90345,0.0634994
val_RMSE/diurnal_cos,90799,0.0425529
val_RMSE/diurnal_cos,91253,0.0485118
val_RMSE/diurnal_cos,91707,0.0752567
val_RMSE/diurnal_cos,92161,0.042791
val_RMSE/diurnal_cos,92615,0.0431364
val_RMSE/diurnal_cos,93069,0.042808
val_RMSE/diurnal_cos,93523,0.0422332
val_RMSE/diurnal_cos,93977,0.0463547
val_RMSE/diurnal_cos,94431,0.0433339
val_RMSE/diurnal_cos,94885,0.0471456
val_RMSE/diurnal_cos,95339,0.0444547
val_RMSE/diurnal_cos,95793,0.0423004
val_RMSE/diurnal_cos,96247,0.0440597
val_RMSE/diurnal_cos,96701,0.0420086
val_RMSE/diurnal_cos,97155,0.0425877
val_RMSE/diurnal_cos,97609,0.0447339
val_RMSE/diurnal_cos,98063,0.0417862
val_RMSE/diurnal_cos,98517,0.041777
val_RMSE/diurnal_cos,98971,0.0416876
val_RMSE/diurnal_cos,99425,0.0417195
val_RMSE/diurnal_cos,99879,0.0420792
val_RMSE/diurnal_cos,100333,0.0416479
val_RMSE/diurnal_cos,100787,0.0416307
val_RMSE/diurnal_cos,101241,0.0416676
val_RMSE/diurnal_cos,101695,0.0441542
val_RMSE/diurnal_cos,102149,0.041685
val_RMSE/diurnal_cos,102603,0.0416298
val_RMSE/diurnal_cos,103057,0.0416769
val_RMSE/diurnal_cos,103511,0.0416787
val_RMSE/diurnal_cos,103965,0.0416264
val_RMSE/diurnal_cos,104419,0.0416027
val_RMSE/diurnal_cos,104873,0.0416366
val_RMSE/diurnal_sin,453,0.0628065
val_RMSE/diurnal_sin,907,0.0431967
val_RMSE/diurnal_sin,1361,0.0398403
val_RMSE/diurnal_sin,1815,0.0357962
val_RMSE/diurnal_sin,2269,0.0383027
val_RMSE/diurnal_sin,2723,0.0362592
val_RMSE/diurnal_sin,3177,0.0325881
val_RMSE/diurnal_sin,3631,0.0355723
val_RMSE/diurnal_sin,4085,0.071152
val_RMSE/diurnal_sin,4539,0.0673285
val_RMSE/diurnal_sin,4993,0.150855
val_RMSE/diurnal_sin,5447,0.0734844
val_RMSE/diurnal_sin,5901,0.555651
val_RMSE/diurnal_sin,6355,0.143171
val_RMSE/diurnal_sin,6809,0.0480732
val_RMSE/diurnal_sin,7263,0.0834064
val_RMSE/diurnal_sin,7717,0.0522849
val_RMSE/diurnal_sin,8171,0.0811717
val_RMSE/diurnal_sin,8625,0.103724
val_RMSE/diurnal_sin,9079,0.097757
val_RMSE/diurnal_sin,9533,0.130531
val_RMSE/diurnal_sin,9987,0.191598
val_RMSE/diurnal_sin,10441,0.162427
val_RMSE/diurnal_sin,10895,0.183955
val_RMSE/diurnal_sin,11349,0.181488
val_RMSE/diurnal_sin,11803,0.197452
val_RMSE/diurnal_sin,12257,0.237342
val_RMSE/diurnal_sin,12711,0.282514
val_RMSE/diurnal_sin,13165,0.285799
val_RMSE/diurnal_sin,13619,0.264818
val_RMSE/diurnal_sin,14073,0.292573
val_RMSE/diurnal_sin,14527,0.184658
val_RMSE/diurnal_sin,14981,0.147177
val_RMSE/diurnal_sin,15435,0.153438
val_RMSE/diurnal_sin,15889,0.148767
val_RMSE/diurnal_sin,16343,0.121071
val_RMSE/diurnal_sin,16797,0.131157
val_RMSE/diurnal_sin,17251,0.114504
val_RMSE/diurnal_sin,17705,0.115637
val_RMSE/diurnal_sin,18159,0.123012
val_RMSE/diurnal_sin,18613,0.112917
val_RMSE/diurnal_sin,19067,0.121901
val_RMSE/diurnal_sin,19521,0.151029
val_RMSE/diurnal_sin,19975,0.149094
val_RMSE/diurnal_sin,20429,0.104234
val_RMSE/diurnal_sin,20883,0.0991361
val_RMSE/diurnal_sin,21337,0.428909
val_RMSE/diurnal_sin,21791,0.2067
val_RMSE/diurnal_sin,22245,2.27284
val_RMSE/diurnal_sin,22699,1.86657
val_RMSE/diurnal_sin,23153,0.818617
val_RMSE/diurnal_sin,23607,8.14573
val_RMSE/diurnal_sin,24061,6.10193
val_RMSE/diurnal_sin,24515,5.3806
val_RMSE/diurnal_sin,24969,5.64342
val_RMSE/diurnal_sin,25423,4.39382
val_RMSE/diurnal_sin,25877,4.08999
val_RMSE/diurnal_sin,26331,4.00534
val_RMSE/diurnal_sin,26785,4.00093
